 

stn;time;rka150d0
CRM;20140923;-
CRM;20140924;1.4
CRM;20140925;0.0
CRM;20140926;0.0
CRM;20140927;0.0
CRM;20140928;0.0
CRM;20140929;0.0
CRM;20140930;0.9
CRM;20141001;0.1
CRM;20141002;0.0
CRM;20141003;0.0
CRM;20141004;0.0
CRM;20141005;2.0
CRM;20141006;0.0
CRM;20141007;25.6
CRM;20141008;4.1
CRM;20141009;2.1
CRM;20141010;3.7
CRM;20141011;10.2
CRM;20141012;0.0
CRM;20141013;8.2
CRM;20141014;0.0
CRM;20141015;2.5
CRM;20141016;2.2
CRM;20141017;1.7
CRM;20141018;0.0
CRM;20141019;0.0
CRM;20141020;2.4
CRM;20141021;10.3
CRM;20141022;3.3
CRM;20141023;0.3
CRM;20141024;0.0
CRM;20141025;0.3
CRM;20141026;0.0
CRM;20141027;0.0
CRM;20141028;0.0
CRM;20141029;0.0
CRM;20141030;0.0
CRM;20141031;0.0
CRM;20141101;0.0
CRM;20141102;0.0
CRM;20141103;0.3
CRM;20141104;7.2
CRM;20141105;23.9
CRM;20141106;0.1
CRM;20141107;0.5
CRM;20141108;0.0
CRM;20141109;0.0
CRM;20141110;3.4
CRM;20141111;0.0
CRM;20141112;14.1
CRM;20141113;0.6
CRM;20141114;0.0
CRM;20141115;22.8
CRM;20141116;4.5
CRM;20141117;8.7
CRM;20141118;1.4
CRM;20141119;0.4
CRM;20141120;0.0
CRM;20141121;0.0
CRM;20141122;0.0
CRM;20141123;0.0
CRM;20141124;0.0
CRM;20141125;0.0
CRM;20141126;0.0
CRM;20141127;0.0
CRM;20141128;0.0
CRM;20141129;0.0
CRM;20141130;0.0
CRM;20141201;4.0
CRM;20141202;0.4
CRM;20141203;0.0
CRM;20141204;0.0
CRM;20141205;0.0
CRM;20141206;0.2
CRM;20141207;0.0
CRM;20141208;0.2
CRM;20141209;0.4
CRM;20141210;0.2
CRM;20141211;0.4
CRM;20141212;0.0
CRM;20141213;0.0
CRM;20141214;1.1
CRM;20141215;0.7
CRM;20141216;0.2
CRM;20141217;13.5
CRM;20141218;1.6
CRM;20141219;2.7
CRM;20141220;1.0
CRM;20141221;0.0
CRM;20141222;0.0
CRM;20141223;0.0
CRM;20141224;0.0
CRM;20141225;0.1
CRM;20141226;0.1
CRM;20141227;23.5
CRM;20141228;1.0
CRM;20141229;1.7
CRM;20141230;0.0
CRM;20141231;0.0
CRM;20150101;0.0
CRM;20150102;0.0
CRM;20150103;4.4
CRM;20150104;4.0
CRM;20150105;0.0
CRM;20150106;0.0
CRM;20150107;0.0
CRM;20150108;1.6
CRM;20150109;3.3
CRM;20150110;3.6
CRM;20150111;3.4
CRM;20150112;0.0
CRM;20150113;0.0
CRM;20150114;8.4
CRM;20150115;0.0
CRM;20150116;7.9
CRM;20150117;5.2
CRM;20150118;0.0
CRM;20150119;3.1
CRM;20150120;3.2
CRM;20150121;0.0
CRM;20150122;0.0
CRM;20150123;0.0
CRM;20150124;1.2
CRM;20150125;0.2
CRM;20150126;6.1
CRM;20150127;0.6
CRM;20150128;1.5
CRM;20150129;13.1
CRM;20150130;9.4
CRM;20150131;0.7
CRM;20150201;0.9
CRM;20150202;1.3
CRM;20150203;0.0
CRM;20150204;0.0
CRM;20150205;0.0
CRM;20150206;0.0
CRM;20150207;0.0
CRM;20150208;0.0
CRM;20150209;0.0
CRM;20150210;0.0
CRM;20150211;0.0
CRM;20150212;0.0
CRM;20150213;0.0
CRM;20150214;5.9
CRM;20150215;2.7
CRM;20150216;0.0
CRM;20150217;0.0
CRM;20150218;0.0
CRM;20150219;0.0
CRM;20150220;0.0
CRM;20150221;10.7
CRM;20150222;0.9
CRM;20150223;5.2
CRM;20150224;0.1
CRM;20150225;0.5
CRM;20150226;0.0
CRM;20150227;2.0
CRM;20150228;0.2
CRM;20150301;8.4
CRM;20150302;13.8
CRM;20150303;0.2
CRM;20150304;0.0
CRM;20150305;0.0
CRM;20150306;0.0
CRM;20150307;0.0
CRM;20150308;0.0
CRM;20150309;0.0
CRM;20150310;0.0
CRM;20150311;0.0
CRM;20150312;0.0
CRM;20150313;0.0
CRM;20150314;0.0
CRM;20150315;0.0
CRM;20150316;0.0
CRM;20150317;0.0
CRM;20150318;0.0
CRM;20150319;0.0
CRM;20150320;0.0
CRM;20150321;1.1
CRM;20150322;0.0
CRM;20150323;0.0
CRM;20150324;0.0
CRM;20150325;0.0
CRM;20150326;0.2
CRM;20150327;0.3
CRM;20150328;0.6
CRM;20150329;17.1
CRM;20150330;16.4
CRM;20150331;1.5
CRM;20150401;1.2
CRM;20150402;8.2
CRM;20150403;1.6
CRM;20150404;3.2
CRM;20150405;0.0
CRM;20150406;0.0
CRM;20150407;0.0
CRM;20150408;0.0
CRM;20150409;0.0
CRM;20150410;0.1
CRM;20150411;0.1
CRM;20150412;0.0
CRM;20150413;0.0
CRM;20150414;0.0
CRM;20150415;0.0
CRM;20150416;1.0
CRM;20150417;8.0
CRM;20150418;0.8
CRM;20150419;0.0
CRM;20150420;0.0
CRM;20150421;0.0
CRM;20150422;0.0
CRM;20150423;0.0
CRM;20150424;0.0
CRM;20150425;1.4
CRM;20150426;1.6
CRM;20150427;8.5
CRM;20150428;7.0
CRM;20150429;0.0
CRM;20150430;5.2
CRM;20150501;83.0
CRM;20150502;16.4
CRM;20150503;18.2
CRM;20150504;7.5
CRM;20150505;5.5
CRM;20150506;2.2
CRM;20150507;0.0
CRM;20150508;1.5
CRM;20150509;0.1
CRM;20150510;0.0
CRM;20150511;0.0
CRM;20150512;0.0
CRM;20150513;0.0
CRM;20150514;1.7
CRM;20150515;13.1
CRM;20150516;0.0
CRM;20150517;0.0
CRM;20150518;0.0
CRM;20150519;0.2
CRM;20150520;0.0
CRM;20150521;0.0
CRM;20150522;0.0
CRM;20150523;0.0
CRM;20150524;0.0
CRM;20150525;0.1
CRM;20150526;0.7
CRM;20150527;0.0
CRM;20150528;0.0
CRM;20150529;0.1
CRM;20150530;0.0
CRM;20150531;0.0
CRM;20150601;2.9
CRM;20150602;0.9
CRM;20150603;0.0
CRM;20150604;0.0
CRM;20150605;0.5
CRM;20150606;0.1
CRM;20150607;5.4
CRM;20150608;0.0
CRM;20150609;0.0
CRM;20150610;0.0
CRM;20150611;0.0
CRM;20150612;0.0
CRM;20150613;3.7
CRM;20150614;25.9
CRM;20150615;12.8
CRM;20150616;1.8
CRM;20150617;0.0
CRM;20150618;1.6
CRM;20150619;0.0
CRM;20150620;0.0
CRM;20150621;3.0
CRM;20150622;2.7
CRM;20150623;0.7
CRM;20150624;0.0
CRM;20150625;0.0
CRM;20150626;0.0
CRM;20150627;0.0
CRM;20150628;0.0
CRM;20150629;0.0
CRM;20150630;0.0
CRM;20150701;0.0
CRM;20150702;0.0
CRM;20150703;0.0
CRM;20150704;0.0
CRM;20150705;0.1
CRM;20150706;0.0
CRM;20150707;1.0
CRM;20150708;0.0
CRM;20150709;0.0
CRM;20150710;0.0
CRM;20150711;0.0
CRM;20150712;0.0
CRM;20150713;0.0
CRM;20150714;0.0
CRM;20150715;0.0
CRM;20150716;0.0
CRM;20150717;0.0
CRM;20150718;18.9
CRM;20150719;0.0
CRM;20150720;0.0
CRM;20150721;0.0
CRM;20150722;3.6
CRM;20150723;0.0
CRM;20150724;7.4
CRM;20150725;0.1
CRM;20150726;2.7
CRM;20150727;0.7
CRM;20150728;0.0
CRM;20150729;2.2
CRM;20150730;0.0
CRM;20150731;0.0
CRM;20150801;10.2
CRM;20150802;0.0
CRM;20150803;0.0
CRM;20150804;0.4
CRM;20150805;0.0
CRM;20150806;0.0
CRM;20150807;0.0
CRM;20150808;0.0
CRM;20150809;0.6
CRM;20150810;1.8
CRM;20150811;0.0
CRM;20150812;0.0
CRM;20150813;20.7
CRM;20150814;9.7
CRM;20150815;0.8
CRM;20150816;4.4
CRM;20150817;0.0
CRM;20150818;0.0
CRM;20150819;0.0
CRM;20150820;0.0
CRM;20150821;0.0
CRM;20150822;0.0
CRM;20150823;0.8
CRM;20150824;16.5
CRM;20150825;0.0
CRM;20150826;0.0
CRM;20150827;0.0
CRM;20150828;0.0
CRM;20150829;0.0
CRM;20150830;0.0
CRM;20150831;0.0
CRM;20150901;4.4
CRM;20150902;0.0
CRM;20150903;0.0
CRM;20150904;0.0
CRM;20150905;0.0
CRM;20150906;0.0
CRM;20150907;0.0
CRM;20150908;0.0
CRM;20150909;0.0
CRM;20150910;0.0
CRM;20150911;1.5
CRM;20150912;2.7
CRM;20150913;14.1
CRM;20150914;6.3
CRM;20150915;0.0
CRM;20150916;1.2
CRM;20150917;18.3
CRM;20150918;2.2
CRM;20150919;1.6
CRM;20150920;0.0
CRM;20150921;0.0
CRM;20150922;3.2
CRM;20150923;-
