 

stn;time;tre200d0;qtre200d0;mtre200d0
CRM;20140717;22.3;0;0
CRM;20140718;22.8;0;0
CRM;20140719;22.5;0;0
CRM;20140720;19.2;0;0
CRM;20140721;16.7;0;0
CRM;20140722;18.0;0;0
CRM;20140723;21.5;0;0
CRM;20140724;20.4;0;-10
CRM;20140725;19.0;0;-6
CRM;20140726;17.0;0;0
CRM;20140727;18.9;0;0
CRM;20140728;18.3;0;0
CRM;20140729;16.9;0;0
CRM;20140730;17.5;0;0
CRM;20140731;20.4;0;0
CRM;20140801;20.5;0;0
CRM;20140802;20.5;0;0
CRM;20140803;18.2;0;0
CRM;20140804;18.6;0;0
CRM;20140805;19.4;0;0
CRM;20140806;18.2;0;0
CRM;20140807;19.1;0;0
CRM;20140808;21.1;0;0
CRM;20140809;20.7;0;0
CRM;20140810;21.2;0;0
CRM;20140811;17.4;0;0
CRM;20140812;17.0;0;0
CRM;20140813;15.5;0;0
CRM;20140814;14.7;0;0
CRM;20140815;14.3;0;0
CRM;20140816;14.2;0;0
CRM;20140817;14.7;0;0
CRM;20140818;17.2;0;0
CRM;20140819;17.2;0;0
CRM;20140820;15.3;0;0
CRM;20140821;15.0;0;0
CRM;20140822;15.7;0;0
CRM;20140823;15.2;0;0
CRM;20140824;14.0;0;0
CRM;20140825;12.7;0;0
CRM;20140826;16.6;0;0
CRM;20140827;17.7;0;0
CRM;20140828;17.8;0;0
CRM;20140829;18.5;0;0
CRM;20140830;18.6;0;0
CRM;20140831;15.5;0;0
CRM;20140901;14.7;0;0
CRM;20140902;15.2;0;0
CRM;20140903;15.8;0;0
CRM;20140904;17.8;0;-1
CRM;20140905;17.9;0;0
CRM;20140906;18.3;0;0
CRM;20140907;19.3;0;0
CRM;20140908;18.9;0;0
CRM;20140909;18.9;0;0
CRM;20140910;18.7;0;0
CRM;20140911;16.0;0;0
CRM;20140912;13.5;0;0
CRM;20140913;15.9;0;0
CRM;20140914;16.5;0;0
CRM;20140915;16.5;0;0
CRM;20140916;17.9;0;0
CRM;20140917;18.7;0;0
CRM;20140918;-;-;-
CRM;20140919;-;-;-
CRM;20140920;-;-;-
CRM;20140921;-;-;-
CRM;20140922;-;-;-
CRM;20140923;-;-;-
CRM;20140924;-;-;-
CRM;20140925;-;-;-
CRM;20140926;12.3;0;-2
CRM;20140927;14.7;0;0
CRM;20140928;14.1;0;0
CRM;20140929;15.5;0;0
CRM;20140930;16.0;0;0
CRM;20141001;16.0;0;0
CRM;20141002;16.1;0;0
CRM;20141003;15.4;0;0
CRM;20141004;13.8;0;0
CRM;20141005;13.8;0;0
CRM;20141006;13.7;0;0
CRM;20141007;15.0;0;0
CRM;20141008;14.8;0;0
CRM;20141009;15.7;0;0
CRM;20141010;16.1;0;0
CRM;20141011;15.3;0;0
CRM;20141012;13.8;0;0
CRM;20141013;14.2;0;0
CRM;20141014;13.0;0;0
CRM;20141015;14.0;0;0
CRM;20141016;14.1;0;0
CRM;20141017;16.2;0;0
CRM;20141018;12.5;0;0
CRM;20141019;13.4;0;0
CRM;20141020;14.4;0;0
CRM;20141021;14.8;0;0
CRM;20141022;7.0;0;-1
CRM;20141023;7.9;0;-5
CRM;20141024;7.6;0;0
CRM;20141025;10.0;0;0
CRM;20141026;10.0;0;0
CRM;20141027;10.3;0;0
CRM;20141028;9.0;0;0
CRM;20141029;8.7;0;0
CRM;20141030;10.1;0;0
CRM;20141031;8.5;0;0
CRM;20141101;8.3;0;0
CRM;20141102;8.9;0;0
CRM;20141103;8.4;0;0
CRM;20141104;8.6;0;0
CRM;20141105;5.8;0;0
CRM;20141106;5.9;0;0
CRM;20141107;6.8;0;0
CRM;20141108;6.8;0;0
CRM;20141109;6.9;0;0
CRM;20141110;8.3;0;0
CRM;20141111;7.3;0;0
CRM;20141112;8.1;0;0
CRM;20141113;8.4;0;0
CRM;20141114;6.2;0;0
CRM;20141115;8.3;0;0
CRM;20141116;9.2;0;0
CRM;20141117;6.9;0;0
CRM;20141118;6.3;0;0
CRM;20141119;6.4;0;0
CRM;20141120;4.3;0;0
CRM;20141121;5.5;0;0
CRM;20141122;6.4;0;0
CRM;20141123;6.2;0;0
CRM;20141124;7.7;0;0
CRM;20141125;8.6;0;0
CRM;20141126;8.9;0;0
CRM;20141127;8.5;0;0
CRM;20141128;6.4;0;0
CRM;20141129;4.0;0;0
CRM;20141130;4.1;0;0
CRM;20141201;4.0;0;0
CRM;20141202;4.4;0;0
CRM;20141203;4.7;0;0
CRM;20141204;4.6;0;0
CRM;20141205;4.2;0;0
CRM;20141206;4.2;0;0
CRM;20141207;4.1;0;0
CRM;20141208;4.1;0;0
CRM;20141209;2.6;0;0
CRM;20141210;1.7;0;0
CRM;20141211;5.5;0;0
CRM;20141212;6.2;0;0
CRM;20141213;5.2;0;0
CRM;20141214;6.0;0;0
CRM;20141215;7.1;0;0
CRM;20141216;6.4;0;0
CRM;20141217;4.5;0;0
CRM;20141218;7.9;0;0
CRM;20141219;9.8;0;0
CRM;20141220;7.8;0;0
CRM;20141221;3.4;0;0
CRM;20141222;2.0;0;0
CRM;20141223;1.0;0;0
CRM;20141224;4.4;0;0
CRM;20141225;5.7;0;0
CRM;20141226;1.6;0;0
CRM;20141227;1.2;0;0
CRM;20141228;-1.0;0;0
CRM;20141229;-5.0;0;-8
CRM;20141230;-2.2;0;0
CRM;20141231;0.1;0;0
CRM;20150101;-2.5;0;0
CRM;20150102;0.6;0;0
CRM;20150103;4.8;0;0
CRM;20150104;5.7;0;0
CRM;20150105;-0.9;0;0
CRM;20150106;-1.7;0;0
CRM;20150107;0.7;0;0
CRM;20150108;4.4;0;0
CRM;20150109;7.6;0;0
CRM;20150110;11.8;0;0
CRM;20150111;5.8;0;0
CRM;20150112;2.7;0;0
CRM;20150113;4.0;0;-1
CRM;20150114;7.0;0;0
CRM;20150115;3.6;0;0
CRM;20150116;3.7;0;0
CRM;20150117;2.7;0;0
CRM;20150118;-0.8;0;0
CRM;20150119;0.3;0;0
CRM;20150120;1.1;0;0
CRM;20150121;1.6;0;0
CRM;20150122;1.4;0;0
CRM;20150123;1.2;0;0
CRM;20150124;1.0;0;0
CRM;20150125;0.9;0;0
CRM;20150126;-0.2;0;0
CRM;20150127;1.7;0;0
CRM;20150128;-0.1;0;0
CRM;20150129;3.0;0;0
CRM;20150130;1.1;0;0
CRM;20150131;0.3;0;-5
CRM;20150201;0.7;0;0
CRM;20150202;0.5;0;0
CRM;20150203;-1.5;0;0
CRM;20150204;-1.1;0;0
CRM;20150205;-1.9;0;0
CRM;20150206;-1.2;0;0
CRM;20150207;-2.9;0;0
CRM;20150208;-1.9;0;0
CRM;20150209;-0.6;0;0
CRM;20150210;1.0;0;0
CRM;20150211;-1.0;0;0
CRM;20150212;-2.7;0;0
CRM;20150213;-0.6;0;0
CRM;20150214;3.0;0;0
CRM;20150215;3.5;0;0
CRM;20150216;-0.1;0;0
CRM;20150217;0.0;0;0
CRM;20150218;0.2;0;0
CRM;20150219;0.9;0;0
CRM;20150220;1.7;0;0
CRM;20150221;2.4;0;0
CRM;20150222;1.4;0;0
CRM;20150223;2.2;0;0
CRM;20150224;4.0;0;0
CRM;20150225;2.9;0;-7
CRM;20150226;2.2;0;0
CRM;20150227;3.9;0;0
CRM;20150228;2.6;0;0
CRM;20150301;5.4;0;0
CRM;20150302;8.2;0;0
CRM;20150303;6.5;0;0
CRM;20150304;4.4;0;0
CRM;20150305;3.8;0;0
CRM;20150306;4.0;0;0
CRM;20150307;3.7;0;0
CRM;20150308;6.6;0;0
CRM;20150309;7.2;0;0
CRM;20150310;7.1;0;0
CRM;20150311;8.7;0;0
CRM;20150312;6.6;0;0
CRM;20150313;4.9;0;0
CRM;20150314;5.6;0;0
CRM;20150315;4.5;0;0
CRM;20150316;6.1;0;0
CRM;20150317;7.3;0;0
CRM;20150318;9.8;0;0
CRM;20150319;10.3;0;0
CRM;20150320;8.7;0;0
CRM;20150321;7.3;0;0
CRM;20150322;5.6;0;0
CRM;20150323;7.2;0;0
CRM;20150324;8.1;0;0
CRM;20150325;7.2;0;0
CRM;20150326;6.3;0;0
CRM;20150327;7.7;0;0
CRM;20150328;5.8;0;0
CRM;20150329;9.1;0;0
CRM;20150330;10.5;0;0
CRM;20150331;11.0;0;0
CRM;20150401;6.2;0;0
CRM;20150402;5.5;0;0
CRM;20150403;4.5;0;0
CRM;20150404;6.3;0;0
CRM;20150405;4.6;0;0
CRM;20150406;5.2;0;0
CRM;20150407;6.4;0;0
CRM;20150408;8.2;0;0
CRM;20150409;9.4;0;0
CRM;20150410;11.7;0;0
CRM;20150411;11.3;0;0
CRM;20150412;11.9;0;0
CRM;20150413;13.0;0;0
CRM;20150414;13.0;0;0
CRM;20150415;12.8;0;0
CRM;20150416;11.3;0;0
CRM;20150417;11.8;0;0
CRM;20150418;9.8;0;0
CRM;20150419;9.9;0;0
CRM;20150420;11.6;0;0
CRM;20150421;13.8;0;0
CRM;20150422;13.8;0;0
CRM;20150423;12.6;0;0
CRM;20150424;13.1;0;0
CRM;20150425;12.9;0;0
CRM;20150426;13.6;0;0
CRM;20150427;14.1;0;0
CRM;20150428;8.5;0;0
CRM;20150429;9.6;0;0
CRM;20150430;11.6;0;0
CRM;20150501;12.1;0;0
CRM;20150502;13.8;0;0
CRM;20150503;14.6;0;0
CRM;20150504;15.7;0;0
CRM;20150505;15.2;0;0
CRM;20150506;14.3;0;0
CRM;20150507;13.4;0;0
CRM;20150508;12.8;0;0
CRM;20150509;14.9;0;0
CRM;20150510;15.3;0;0
CRM;20150511;16.5;0;0
CRM;20150512;18.7;0;-6
CRM;20150513;22.3;0;0
CRM;20150514;17.9;0;0
CRM;20150515;8.2;0;0
CRM;20150516;13.0;0;0
CRM;20150517;15.4;0;0
CRM;20150518;16.4;0;0
CRM;20150519;14.3;0;0
CRM;20150520;10.2;0;0
CRM;20150521;9.7;0;0
CRM;20150522;11.8;0;0
CRM;20150523;13.3;0;0
CRM;20150524;15.9;0;0
CRM;20150525;14.7;0;0
CRM;20150526;12.1;0;0
CRM;20150527;12.5;0;0
CRM;20150528;14.3;0;0
CRM;20150529;17.1;0;0
CRM;20150530;16.5;0;0
CRM;20150531;17.3;0;0
CRM;20150601;17.5;0;0
CRM;20150602;18.9;0;0
CRM;20150603;20.3;0;0
CRM;20150604;22.2;0;0
CRM;20150605;22.9;0;0
CRM;20150606;22.6;0;0
CRM;20150607;21.6;0;0
CRM;20150608;19.8;0;0
CRM;20150609;15.7;0;0
CRM;20150610;16.7;0;0
CRM;20150611;20.5;0;0
CRM;20150612;20.0;0;0
CRM;20150613;20.7;0;0
CRM;20150614;17.9;0;0
CRM;20150615;16.7;0;0
CRM;20150616;17.0;0;0
CRM;20150617;17.3;0;0
CRM;20150618;16.2;0;0
CRM;20150619;16.8;0;0
CRM;20150620;15.4;0;0
CRM;20150621;15.8;0;0
CRM;20150622;17.7;0;0
CRM;20150623;15.2;0;0
CRM;20150624;15.9;0;0
CRM;20150625;17.6;0;0
CRM;20150626;19.4;0;0
CRM;20150627;19.8;0;0
CRM;20150628;21.1;0;-8
CRM;20150629;21.0;0;-2
CRM;20150630;23.4;0;0
CRM;20150701;24.0;0;0
CRM;20150702;25.5;0;0
CRM;20150703;26.6;0;0
CRM;20150704;26.8;0;0
CRM;20150705;27.2;0;0
